JFK,HYA,B6,3,2,87,66,78,7,1,62
JFK,MSY,DL,1,2,51,223,80,4,2,87
JFK,MSY,DL,1,1,112,224,83,3,3,45
JFK,MSY,DL,1,3,108,226,31,9,1,15
JFK,MSY,DL,3,2,0,207,2,0,0,99
JFK,MSY,DL,3,3,107,218,92,34,0,12
JFK,MSY,DL,2,2,60,210,80,9,3,41
JFK,MSY,DL,2,1,54,216,92,3,1,92
JFK,MSY,DL,2,3,110,218,92,50,4,2
JFK,MSY,DL,4,2,99,222,28,4,0,33
JFK,MSY,DL,4,1,0,218,32,0,1,99
JFK,MSY,DL,4,3,120,216,76,14,0,4
JFK,MSY,B6,1,2,108,212,90,14,6,20
JFK,MSY,B6,1,1,49,205,94,2,3,90
JFK,MSY,B6,1,3,37,209,13,1,0,89
JFK,MSY,B6,3,2,66,198,92,21,5,21
JFK,MSY,B6,3,1,55,182,92,6,1,87
JFK,MSY,B6,2,2,80,214,92,24,5,20
JFK,MSY,B6,2,1,46,195,92,6,0,90
JFK,MSY,B6,2,3,107,211,58,32,0,2
JFK,MSY,B6,4,2,76,207,92,5,1,74
JFK,MSY,B6,4,1,224,202,92,4,1,14
JFK,MIA,AA,1,2,124,201,278,41,8,4
JFK,MIA,AA,1,1,178,198,181,11,8,7
JFK,MIA,AA,1,3,60,212,86,11,3,41
JFK,MIA,AA,3,2,78,194,368,62,23,28
JFK,MIA,AA,3,1,134,191,184,9,14,5
JFK,MIA,AA,2,2,72,192,367,70,0,40
JFK,MIA,AA,2,1,110,190,184,25,1,35
JFK,MIA,AA,2,3,0,198,6,0,0,99
JFK,MIA,AA,4,2,85,197,367,40,0,67
JFK,MIA,AA,4,1,66,194,185,8,2,80
JFK,MIA,DL,1,2,109,202,168,24,4,29
JFK,MIA,DL,1,1,73,215,92,4,4,63
JFK,MIA,DL,1,3,167,211,89,12,3,4
JFK,MIA,DL,3,2,86,199,179,20,7,43
JFK,MIA,DL,3,1,46,197,88,2,4,87
JFK,MIA,DL,3,3,114,212,92,33,6,5
JFK,MIA,DL,2,2,130,195,184,46,5,2
JFK,MIA,DL,2,1,65,202,92,2,2,79
JFK,MIA,DL,2,3,82,203,92,30,1,20
JFK,MIA,DL,4,2,124,197,174,15,0,10
JFK,MIA,DL,4,1,120,201,104,6,4,7
JFK,MIA,DL,4,3,97,204,93,14,0,31
JFK,ATL,DL,1,2,100,166,193,22,7,29
JFK,ATL,DL,1,1,223,166,181,10,3,11
JFK,ATL,DL,1,3,147,167,180,18,3,7
JFK,ATL,DL,3,2,89,158,290,35,4,54
JFK,ATL,DL,3,1,135,147,187,4,0,18
JFK,ATL,DL,3,3,107,172,170,41,1,22
JFK,ATL,DL,2,2,150,157,222,44,4,3
JFK,ATL,DL,2,1,119,153,184,7,3,59
JFK,ATL,DL,2,3,146,163,184,66,3,1
JFK,ATL,DL,4,2,102,157,279,24,1,49
JFK,ATL,DL,4,1,79,154,183,10,0,80
JFK,ATL,DL,4,3,101,161,170,29,1,29
JFK,BOS,AA,1,2,61,74,172,15,8,47
JFK,BOS,AA,1,3,79,79,90,17,5,26
JFK,BOS,AA,3,2,76,88,92,21,1,28
JFK,BOS,AA,3,3,100,87,92,23,2,19
JFK,BOS,AA,2,2,80,81,130,44,10,10
JFK,BOS,AA,2,4,0,78,2,0,0,99
JFK,BOS,AA,2,3,96,77,90,33,0,12
JFK,BOS,AA,4,2,106,77,47,6,0,37
JFK,BOS,AA,4,3,60,79,92,7,2,63
JFK,BOS,B6,1,2,99,67,213,28,6,29
JFK,BOS,B6,1,4,91,68,22,6,1,15
JFK,BOS,B6,1,1,55,73,175,8,6,88
